Year,Agriculture Waste and Forest Burining
1750,297.4646065
1751,302.9370985
1752,308.5102686
1753,314.185969
1754,319.9660859
1755,325.8525403
1756,331.8472885
1757,337.9523229
1758,344.1696723
1759,350.5014029
1760,356.9496193
1761,363.5164642
1762,370.2041201
1763,377.0148097
1764,383.9507963
1765,391.0143851
1766,398.2079236
1767,405.5338025
1768,412.9944564
1769,420.5923649
1770,428.330053
1771,436.2100923
1772,444.2351017
1773,452.4077481
1774,460.7307476
1775,469.2068664
1776,477.8389213
1777,486.6297812
1778,495.5823676
1779,504.6996558
1780,513.9846758
1781,523.4405135
1782,533.0703113
1783,542.8772697
1784,552.8646479
1785,563.035765
1786,573.3940015
1787,583.9427996
1788,594.6856653
1789,605.6261687
1790,616.7679459
1791,628.1146997
1792,639.6702011
1793,651.4382904
1794,663.4228787
1795,675.6279489
1796,688.0575572
1797,700.7158345
1798,713.6069877
1799,726.7353009
1800,740.1051373
1801,753.7209402
1802,767.5872346
1803,781.708629
1804,796.0898163
1805,810.735576
1806,825.6507755
1807,840.8403718
1808,856.3094128
1809,872.0630397
1810,888.1064879
1811,904.4450894
1812,921.084274
1813,938.0295718
1814,955.2866142
1815,972.8611365
1816,990.7589794
1817,1008.986091
1818,1027.548529
1819,1046.452462
1820,1065.704174
1821,1085.310061
1822,1105.27664
1823,1125.610547
1824,1146.318539
1825,1167.407499
1826,1188.884434
1827,1210.756484
1828,1233.030916
1829,1255.715133
1830,1278.816675
1831,1302.343219
1832,1326.302583
1833,1350.70273
1834,1375.55177
1835,1400.857961
1836,1426.629713
1837,1452.875591
1838,1479.604317
1839,1506.824775
1840,1534.546011
1841,1562.777238
1842,1591.527838
1843,1620.807366
1844,1650.625553
1845,1680.992309
1846,1711.917726
1847,1743.412082
1848,1775.485843
1849,1808.149669
1850,1841.414415
1851,1812.641691
1852,2017.958792
1853,2010.429149
1854,2003.49854
1855,1992.57304
1856,2014.438713
1857,2033.990905
1858,2051.125846
1859,2079.153212
1860,2095.717761
1861,2136.721579
1862,1916.34624
1863,1916.997535
1864,1918.269413
1865,1921.087377
1866,1921.585666
1867,1916.052688
1868,1910.698725
1869,1904.67254
1870,1900.645177
1871,1974.459419
1872,2287.485899
1873,2327.648136
1874,2354.256216
1875,2383.068243
1876,2411.35367
1877,2435.735782
1878,2460.989956
1879,2486.749301
1880,2509.623248
1881,2648.024913
1882,2471.224191
1883,2497.151688
1884,2508.986068
1885,2531.633224
1886,2535.558324
1887,2535.377123
1888,2534.110398
1889,2532.312708
1890,2520.270356
1891,2507.988844
1892,2561.196286
1893,2564.061168
1894,2622.209594
1895,2641.864587
1896,2651.009917
1897,2659.941939
1898,2669.096822
1899,2669.754913
1900,2677.143179
1901,2920.220385
1902,2932.578084
1903,3039.918912
1904,3137.132745
1905,3236.03741
1906,3349.10565
1907,3382.273038
1908,3416.650809
1909,3442.615327
1910,3465.07142
1911,3251.843109
1912,3117.85701
1913,3006.122949
1914,2965.286448
1915,2922.036651
1916,2930.495173
1917,2941.618045
1918,2953.675083
1919,2972.449133
1920,2981.094687
1921,3156.185151
1922,3127.125618
1923,3156.863354
1924,3179.505679
1925,3191.17269
1926,3207.446458
1927,3352.291327
1928,3364.921444
1929,3464.867641
1930,3747.998908
1931,3785.850465
1932,3426.202541
1933,3414.535978
1934,3371.399627
1935,3366.469335
1936,3397.195986
1937,3314.552106
1938,3324.831062
1939,3319.548711
1940,3274.049486
1941,3210.353251
1942,3288.160874
1943,3269.143574
1944,3291.841556
1945,3293.685578
1946,3601.956519
1947,3714.411991
1948,3744.290791
1949,3782.548133
1950,3830.938177
1951,4631.084947
1952,4732.664117
1953,4722.234813
1954,4920.19064
1955,5085.59436
1956,5299.828735
1957,5414.199536
1958,5601.462885
1959,5400.1783
1960,5355.659833
1961,5610.847
1962,5572.613933
1963,5596.3765
1964,5563.5569
1965,5677.731033
1966,5686.360533
1967,5847.963
1968,5668.8731
1969,5656.838367
1970,5613.6718
1971,5150.578033
1972,4862.489867
1973,4831.153433
1974,4729.1475
1975,4775.5246
1976,4837.821633
1977,4954.6904
1978,4761.222033
1979,4589.050767
1980,4559.0688
1981,4590.867967
1982,4610.406533
1983,5251.240133
1984,5354.58
1985,5495.730533
1986,5607.019
1987,5554.162167
1988,5551.983433
1989,5614.4077
1990,5295.479933
1991,5998.185967
1992,6167.4723
1993,5667.8996
1994,5510.289033
1995,5445.6622
1996,5387.4469
1997,8000.636862
1998,5647.810562
1999,4776.350962
2000,4402.238762
2001,3524.472129
2002,3923.348629
2003,3301.819662
2004,3804.476395
2005,3758.465595
2006,4003.930962
2007,3540.631862
2008,2449.088662
2009,2766.155962
2010,3243.438262
2011,3348.037995
2012,3557.037995
2013,3366.371329
2014,4015.371329
2015,3517.44
2016,3653.3145
2017,3712.513
2018,3815.198
2019,3545.5498
2020,3259.400999
