Year,Fossil and Industrial
1750,9.505619891
1751,9.505963229
1752,9.510002042
1753,9.51034538
1754,9.514384194
1755,9.518423007
1756,10.16917002
1757,10.17320884
1758,10.17724765
1759,10.18128646
1760,10.1816298
1761,11.14651159
1762,11.15056977
1763,11.15462794
1764,11.15868611
1765,11.16274429
1766,12.44543696
1767,12.44949514
1768,12.45355331
1769,12.45761148
1770,12.46166966
1771,13.81090157
1772,13.81498041
1773,13.81905926
1774,13.8231381
1775,13.82721695
1776,15.25035837
1777,15.25443721
1778,15.25851606
1779,15.2625949
1780,15.27036922
1781,17.07416836
1782,17.07827094
1783,17.08606901
1784,17.09017159
1785,17.10194574
1786,19.40463405
1787,19.41243212
1788,19.4165347
1789,19.42433276
1790,19.43213083
1791,21.69419182
1792,22.34876643
1793,22.37174568
1794,22.32534355
1795,22.33821728
1796,23.43921459
1797,24.5980621
1798,25.61685792
1799,26.98144303
1800,28.77780539
1801,28.55469611
1802,37.07238349
1803,32.11505223
1804,35.05259222
1805,34.26830496
1806,35.86203938
1807,38.36726044
1808,35.85692752
1809,35.88850331
1810,38.156726
1811,40.3635149
1812,41.75970724
1813,41.95454084
1814,42.8876376
1815,44.31824074
1816,49.03968264
1817,51.19270204
1818,51.50323308
1819,51.74568402
1820,52.53618867
1821,53.36192138
1822,55.45545554
1823,58.7709369
1824,60.46706104
1825,63.111523
1826,63.69625003
1827,68.30482988
1828,68.9822692
1829,68.39394372
1830,91.36832944
1831,86.70145063
1832,86.79580076
1833,88.77741696
1834,90.5212983
1835,92.61388732
1836,107.0790399
1837,107.2231617
1838,110.9912884
1839,114.735853
1840,122.9164271
1841,126.7943459
1842,134.2652383
1843,137.2349296
1844,146.0170923
1845,160.4739031
1846,161.9589046
1847,173.9315477
1848,172.660674
1849,179.0134873
1850,188.2971893
1851,188.9473101
1852,196.5696209
1853,205.0343782
1854,241.4710874
1855,243.9077243
1856,260.8928805
1857,263.451509
1858,267.6077703
1859,285.2848882
1860,314.4307083
1861,331.4036247
1862,336.6365241
1863,357.2415719
1864,383.759646
1865,406.520184
1866,420.4531021
1867,449.1953027
1868,460.2890534
1869,488.4396241
1870,500.8359388
1871,532.2577503
1872,587.5811859
1873,623.3057592
1874,590.0221812
1875,634.898549
1876,644.7162038
1877,658.9603312
1878,662.4475459
1879,707.8810192
1880,803.7596678
1881,825.3182473
1882,868.2868736
1883,919.3900694
1884,926.5548868
1885,932.3926773
1886,946.6222192
1887,992.9671993
1888,1095.757642
1889,1097.120159
1890,1191.992969
1891,1247.575065
1892,1256.707537
1893,1238.107898
1894,1286.676887
1895,1362.118796
1896,1405.955764
1897,1473.038386
1898,1551.175545
1899,1697.800966
1900,1788.820939
1901,1848.660826
1902,1903.11229
1903,2075.742538
1904,2107.614101
1905,2243.726713
1906,2360.91611
1907,2663.744559
1908,2576.958064
1909,2672.675265
1910,2805.96325
1911,2861.986257
1912,3004.722072
1913,3259.649461
1914,2973.66654
1915,2942.51981
1916,3170.958207
1917,3285.621644
1918,3251.813367
1919,2861.421008
1920,3309.21524
1921,2908.96889
1922,3092.413999
1923,3516.252425
1924,3555.830056
1925,3604.712598
1926,3558.887022
1927,3928.22156
1928,3943.582919
1929,4239.586225
1930,3931.53488
1931,3549.645518
1932,3225.71824
1933,3383.942487
1934,3666.967337
1935,3849.855802
1936,4215.457073
1937,4511.311211
1938,4255.968439
1939,4516.84672
1940,4882.854452
1941,4973.871648
1942,4980.163241
1943,5141.019629
1944,5085.933086
1945,4327.405026
1946,4742.566944
1947,5313.062133
1948,5649.648194
1949,5551.761022
1950,6213.731176
1951,6659.606041
1952,6786.099892
1953,6984.021272
1954,7165.186495
1955,7837.469428
1956,8395.39109
1957,8738.872584
1958,9040.53885
1959,9541.019563
1960,9998.246947
1961,10084.92943
1962,10511.07056
1963,11125.94113
1964,11702.72338
1965,12246.75033
1966,12831.8669
1967,13287.15772
1968,14051.66841
1969,14883.39681
1970,15843.28502
1971,16527.5501
1972,17246.69564
1973,18233.00875
1974,18132.227
1975,18060.67209
1976,19035.55633
1977,19657.66065
1978,20454.21696
1979,20999.96016
1980,20707.59534
1981,20298.59921
1982,20071.08667
1983,20092.38694
1984,20590.54239
1985,20810.00575
1986,21196.38264
1987,21774.34096
1988,22475.37858
1989,22760.31988
1990,22671.23921
1991,22683.40316
1992,22521.36802
1993,22695.36268
1994,22866.39317
1995,23369.59016
1996,23860.59967
1997,24092.17289
1998,24150.38625
1999,24410.08257
2000,25259.64138
2001,25493.87142
2002,26010.04667
2003,27207.37171
2004,28629.01552
2005,29658.16426
2006,30627.93467
2007,31811.60094
2008,32002.12181
2009,31459.23519
2010,32890.3978
2011,33917.99126
2012,34396.87388
2013,35396.3397
2014,35615.57673
2015,35683.2863
2016,35702.1833
2017,35807.3679
2018,36456.9087
2019,36908.1024
2020,37388.1289
